id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,free_float_mcap,weight
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,107206.0,2130376173647,1,2130376173647,22394984316,108771.0,106831.0,-1232.6808453520061,-1.13675,-24675966358.5708,-1.14503,19885778.0,19885778.0,21000000.0,111814.0,-4.18467,2025-05-22T18:41:28.492Z,67.81,157895.40941,2013-07-06T00:00:00.000Z,,2025-07-01T00:13:36.739Z,1661693415444.6602,68.83220179615753
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2489.74,300293011927,2,300293011927,16577536813,2519.56,2443.56,-15.876226652041169,-0.63363,-1801094154.8949585,-0.5962,120717794.0590473,120717794.0590473,,4878.26,-49.00779,2021-11-10T14:24:19.604Z,0.432979,574416.01009,2015-10-20T00:00:00.000Z,"{'times': 30.03187924220848, 'currency': 'btc', 'percentage': 3003.187924220848}",2025-07-01T00:13:39.245Z,255249060137.94998,10.573162685966025
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,157725986997,3,157725986997,42870051469,1.0,1.0,4.369e-05,0.00437,129342614.0,0.08207,157693626185.9826,157693626185.9826,,1.32,-24.40391,2018-07-24T00:00:00.000Z,0.572521,74.70246,2015-03-02T00:00:00.000Z,,2025-07-01T00:13:34.097Z,149839687647.15,6.20679815021228
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.25,132127579278,4,223892629382,3731177005,2.31,2.17,0.03970083,1.79965,1816879433.0,1.39427,59005546715.0,99985991375.0,100000000000.0,3.4,-34.11259,2018-01-07T00:00:00.000Z,0.00268621,83257.35213,2014-05-22T00:00:00.000Z,,2025-07-01T00:13:32.903Z,105702063422.40001,4.37848865027484
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,657.62,95852267111,5,95852267111,693812695,659.71,651.94,2.16,0.3299,297201773.0,0.31103,145887575.79,145887575.79,200000000.0,788.84,-16.71363,2024-12-04T10:35:25.220Z,0.0398177,1649918.15223,2017-10-19T00:00:00.000Z,,2025-07-01T00:13:36.315Z,67096586977.7,2.7793368931696834
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,154.77,82798079646,6,93593588793,5811383881,158.34,149.71,1.33,0.86472,845107087.0,1.03121,534474009.9874399,604160639.0522639,,293.31,-47.15366,2025-01-19T11:15:27.957Z,0.500801,30851.3336,2020-05-11T19:35:23.449Z,,2025-07-01T00:13:32.997Z,66238463716.8,2.743790917653833
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999888,61493625014,7,61495320411,8228923970,0.999908,0.9998,-1.3189251374945e-05,-0.00132,-178841692.24600983,-0.28999,61499623725.78709,61501319288.12665,,1.17,-14.74381,2019-05-08T00:40:28.300Z,0.877647,13.91881,2023-03-11T08:02:13.981Z,,2025-07-01T00:13:34.095Z,49194900011.200005,2.0377966557727403
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.279957,26532814500,8,26532821534,462852075,0.28052,0.276276,0.00320978,1.15983,286144743.0,1.09021,94797911143.01036,94797936272.74232,,0.431288,-35.10099,2024-12-04T00:10:40.323Z,0.00180434,15412.68605,2017-11-12T00:00:00.000Z,"{'times': 146.34575202148605, 'currency': 'usd', 'percentage': 14634.575202148606}",2025-07-01T00:13:33.740Z,21226251600.0,0.8792534290185188
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.165333,24750882143,9,24753951876,931846812,0.169696,0.162814,-0.004153823000851903,-2.45082,-663017636.7651443,-2.60888,149888936383.7052,149907526383.7052,,0.731578,-77.42618,2021-05-08T05:08:23.458Z,8.69e-05,189932.22591,2015-05-06T00:00:00.000Z,,2025-07-01T00:13:37.671Z,19800705714.4,0.8202031486507388
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2491.51,22601242920,10,22601242920,14848525,2521.59,2441.52,-11.989161987356056,-0.4789,-147959289.36149216,-0.65039,9093556.4170249,9093556.4170249,,4829.57,-48.53025,2021-11-10T14:40:47.256Z,482.9,414.76237,2020-12-22T04:08:21.854Z,,2025-07-01T00:13:32.488Z,18080994336.0,0.7489676731238037
